atomical_number,atomical_id,atomical_bitworkc,filepath,atommap_number,bitworkc_number
55706,ab1d66fac6a1e7f955c15ccf017fd0ac71f37895b263b8a9df0f515df8d7c238i0,ab1,C:\Users\31905\Downloads\atommap_svg_final\1.atommap.svg,1,1
55707,ab98d9b85bb27592a5bb9781a0e6afa0f68586041af80ebbcb4a4891baa4c9d1i0,ab9,C:\Users\31905\Downloads\atommap_svg_final\9.atommap.svg,9,9
55708,ab48e29830cc9be143ab9ebbcb967fea794ce2bc5b5e236ea728aa5f7caba162i0,ab4,C:\Users\31905\Downloads\atommap_svg_final\4.atommap.svg,4,4
55709,ab3c6315c79ddd97398ec532900055581b5be06ee5a4bbb84d2cedf6a544ba1ai0,ab3,C:\Users\31905\Downloads\atommap_svg_final\3.atommap.svg,3,3
55710,ab8470d11741c6b72e4be4339e132aef59ef5f3346abd8e36d83433db70bc1d9i0,ab8,C:\Users\31905\Downloads\atommap_svg_final\8.atommap.svg,8,8
55711,ab77add0aa85a796d70e262990e29aead38b576a3b4f6b702e76fab7b331f81ei0,ab7,C:\Users\31905\Downloads\atommap_svg_final\7.atommap.svg,7,7
55712,ab62e5875898c47991f7bfff66c4dee5549f25e98f1acfb95927df59fc97d4b1i0,ab6,C:\Users\31905\Downloads\atommap_svg_final\6.atommap.svg,6,6
55713,ab23e5148156f35c22e43c291d8283f56a8649b867a0a9f0ffdc863c847895cai0,ab2,C:\Users\31905\Downloads\atommap_svg_final\2.atommap.svg,2,2
55714,ab56a2a4769b6383d81409226e22b8ff9f51f65e23c56452a41718a03dc59ecci0,ab5,C:\Users\31905\Downloads\atommap_svg_final\5.atommap.svg,5,5
55718,ab77c681d3868e943ea2f9d5c5845a80dbf41d12f5ec7c1b22750233c09e6452i0,ab77,77.atommap.svg,77,77
55719,ab8614ff6e8fd56bfdd1aff5edc1f5e4432dc213fe11648f5919725afab0d2c2i0,ab86,86.atommap.svg,86,86
55720,ab837646c1009e8bf8834defa748e3979920852fed718e61591b36bb7439049ci0,ab83,83.atommap.svg,83,83
55721,ab8298cf93da594979ccf52bf9e4a74f85de7261fc5f5958b616dc77ed580e08i0,ab82,82.atommap.svg,82,82
55722,ab6644afad300ece0d19eb781fdec34bbfffacbf44b043ccda740f7ef3df6155i0,ab66,66.atommap.svg,66,66
55725,ab55f058ae25863ec9334088ca2f12fc826b3ccc53cae289ed8971a316e341f4i0,ab55,55.atommap.svg,55,55
55728,ab52556fc76c82496890edfaeede4364edd8f3fa14ce49ddaaf22426d7870540i0,ab52,C:\Users\85820\Desktop\pipe打图片\Atom-map-main\atommap_svg_final\52.atommap.svg,52,52
55729,ab99e6ba2ead7550700fd9b85b6be3bbdf977a9a145606fafa742820213ea9bei0,ab99,99.atommap.svg,99,99
55730,ab330177cbcd94558f948d0c4516d55782c40e51b37d226b9116a29f04002061i0,ab33,33.atommap.svg,33,33
55732,ab2222bb6a771be7efebbc88c29f08699f72ac7854bf601af8161d540f28505ai0,ab22,22.atommap.svg,22,22
55733,ab883671f9a3f5de98fc58d794ae5858aef76d55937e2ae66f52bf0eb11d780bi0,ab88,88.atommap.svg,88,88
55734,ab90e7292b9229c93178d0af6e34b99b288580740725b5f5d00e88cac8b9daf1i0,ab90,90.atommap.svg,90,90
55735,ab971fc18ceafe695aa0043090a71602500fa7890885d549c6285f26287feb8di0,ab97,97.atommap.svg,97,97
55736,ab91d5cb0baf2e8658720adcb46e44781b66bef3566d5b3d8f3769fcdd4b7f86i0,ab91,91.atommap.svg,91,91
55738,ab615b0952c9aaf5fb9aec91e1da2256b3eb78fcc535e99c99c52e9400ce2b1ei0,ab61,61.atommap.svg,61,61
55741,ab93820a1f030cc928f67ca56c4bbff20333569b3e2bbb3e9afc9c221813d6a1i0,ab93,93.atommap.svg,93,93
55742,ab920fd9cd0f774a760ce2d20737c3ba56f7634fe64b644d1d2f089e7c826badi0,ab92,92.atommap.svg,92,92
55743,ab94ef06e6f42b1da342048e418da70493a836f8f41e730fc93b32a19c8b479di0,ab94,94.atommap.svg,94,94
55744,ab958a07af33d6468cba52c1acb153dcd43e208594fcf3f6db57d5be5d06b344i0,ab95,95.atommap.svg,95,95
55746,ab9847bc83dd6799a430f6cc68d2f517c429dee0db7d7a6ad72d4862ca1759a5i0,ab98,98.atommap.svg,98,98
55747,ab968b1e99b4f667a7bde8d51391bae8b78767af1f1b34510746a4ec8bed7f8ei0,ab96,96.atommap.svg,96,96
55752,ab285c1e700ea5e45f4c7a9ef5fc3043f2af02141f2a3fbc51df6d154be29ba1i0,ab28,28.atommap.svg,28,28
55753,ab372d8d2ca29ef3b16baa83e0a8a6c2003a009a1db6fe7567b931bcf8f822c2i0,ab37,37.atommap.svg,37,37
55754,ab459c7cb0a682b9357e7f5c643b40c37765cc9912dae7d7b45f0acb34af6c35i0,ab45,45.atommap.svg,45,45
55756,ab42112616dadeeb2fe3156e637186070beebf2fb9bb626805055f681085628ai0,ab42,42.atommap.svg,42,42
55757,ab4685621595fa5ee84e9ecc252409bd1a9415d53af9c206e8436789709b9103i0,ab46,46.atommap.svg,46,46
55758,ab239564eff9bd96e64f7765cbe4b01f94998f1297e8c3df35fd4a853b8bbb36i0,ab23,C:\Users\85820\Desktop\pipe打图片\Atom-map-main\atommap_svg_final\23.atommap.svg,23,23
55759,ab7057730b59fc5fa6b04134c6ea63e842f082eecd6a1a9b784eb6db4afc9ef2i0,ab70,70.atommap.svg,70,70
55760,ab69172cf552e821205256dff23306b88c26b1ba83fe7624993fea49078fdca2i0,ab69,69.atommap.svg,69,69
55762,ab357f9acbd8a54b36d538c9b89558fdee5653d4a5b3960c9c44ba3f6ef57768i0,ab35,35.atommap.svg,35,35
55763,ab32928ad9028d0eacc082f2a1cee535a697eeda7735c510299e80ee5eaa2ed7i0,ab32,32.atommap.svg,32,32
55764,ab73764840ebb868a9dd2b30cd0071d2face098a7fc9cf0d42db7bed78061d9di0,ab73,73.atommap.svg,73,73
55765,ab676429f11f90d7198f2a1ceebeaae3ddd38da080a42101680a48b0983d1d7ei0,ab67,C:\Users\85820\Desktop\pipe打图片\Atom-map-main\atommap_svg_final\67.atommap.svg,67,67
55766,ab477d167933d978dab2e5965f5e7e86c4ce88e66fd89bd0ad244e81ed3b9a7ei0,ab47,47.atommap.svg,47,47
55768,ab54045164858265988ec2da69a64d086ace64eb652d1e731e235d47368aa9c4i0,ab54,54.atommap.svg,54,54
55769,ab68f231eeee000cc7a6d190b34bece457e5dfbc1b5733a3f793ff21ff0001f9i0,ab68,68.atommap.svg,68,68
55771,ab3171bca6348c4c29c4b80e6a3ee31d49a453981f19c50b8094c0a4c8169aafi0,ab31,31.atommap.svg,31,31
55773,ab85770c5898714d5117bec97367feb8fc2b47f4b69b350a4bac4a338dcc3fcfi0,ab85,85.atommap.svg,85,85
55776,ab71122568a1b4f0977b0a39ac051f705d9dd5c774e31926e62944518d328384i0,ab71,71.atommap.svg,71,71
55780,ab39b74655669a73b09b960827bda8ae09f4a05af035c043f24babcd5ea908f0i0,ab39,39.atommap.svg,39,39
55781,ab48ed710b726e9aea6564a7e8a90df9bb3cdb5d3d3dca1d85e05a2db4b57b8fi0,ab48,48.atommap.svg,48,48
55785,ab383a8c7dc6d2c88f2900846940d189f175ef67cc894deb7cd08977bda16e44i0,ab38,38.atommap.svg,38,38
55786,ab4984a666973991d880e026be31b180f4d4b007a8ff863428d7457c6d7ef689i0,ab49,49.atommap.svg,49,49
55788,ab13b7e059f8d7f3b07ae4e83df2417973646838f897cfcd9835847525d8619bi0,ab13,13.atommap.svg,13,13
55789,ab14d4d692d21e0ee375981b0e4bdfa5724d01e5bd19868a5132d25e0c4fbe83i0,ab14,14.atommap.svg,14,14
55790,ab119176472bb1d6e0816837e67ec4dff5408b52aadb82da9cc4f335ea29bda6i0,ab11,11.atommap.svg,11,11
55791,ab12d1a42eca6a4a447d63914a72807c21a5f95515f0ec645a73cb42800bd7c5i0,ab12,12.atommap.svg,12,12
55793,ab29b4f43101594a07c2ec2923ad82d84ac33198cf3cbdaee638ccd44c404b79i0,ab29,29.atommap.svg,29,29
55796,ab435429bf49e3c5a1784860f11887329421a0726f923f9a7c785b48cbca8a85i0,ab43,43.atommap.svg,43,43
55799,ab89f392b96b915357914d40aabf955395bb5e9909d0653b9c6d0d3ffc2647fbi0,ab89,89.atommap.svg,89,89
55801,ab844f031df4b7d1400229c0875a90431aca540692e67f844543b846904fb996i0,ab84,84.atommap.svg,84,84
55802,ab877b0d8bdaa31cec2cdfb168490e69d516fb63e5c54126cd6c6d4548211ae5i0,ab87,87.atommap.svg,87,87
55803,ab722f2dbe0b121abe6b02475d2819db43b2331c2c443455150660c3ac3ef387i0,ab72,72.atommap.svg,72,72
55804,ab814c4293aeae60918b421cd70ec9ce28b05514cb5a0b01a9fd4f17ff6dd32di0,ab81,81.atommap.svg,81,81
55806,ab80784bcccbb3debd839c96c61eba1c4c3274bca9720a20fe109b97b900fff5i0,ab80,80.atommap.svg,80,80
55808,ab75d9f41b52911005526f0598065580c53100420dcec77df8ea6def9da81bf6i0,ab75,75.atommap.svg,75,75
55811,ab65e6141c73076bf1878344e942523c1268b62559997164110e626a637754b2i0,ab65,65.atommap.svg,65,65
55812,ab40f709ba337d97fa8581b256a09b941b62da6d736948cda731388de72bdad1i0,ab40,40.atommap.svg,40,40
55813,ab6312f2a4cbcfe881b72b3fbd499f528239574cd9387c758faa7508b2b0c0f6i0,ab63,63.atommap.svg,63,63
55814,ab79295b2eeefbaa9b93d9b87191b5bb600ce339e49073769f078948ba20f9bci0,ab79,79.atommap.svg,79,79
55816,ab1072c9052248b97ffaef31cba8f8bf6e674b3924aae7230d20cf94c312cfdfi0,ab10,10.atommap.svg,10,10
55817,ab345943f51378a5b2512d8c3ce5c57f13b193f2f9e3cd86cd34fb9abe9ed8cfi0,ab34,34.atommap.svg,34,34
55819,ab4145a4a36629f77a0e145793f231fc1484cb37052ada8bcf6cf37a51ab4902i0,ab41,41.atommap.svg,41,41
55822,ab6006f62ff97599bf955acac36a3269e404696954d09cdb5acab40f8d6f1e32i0,ab60,60.atommap.svg,60,60
55823,ab206c367e7f972a557a92ff8c2b89f0070c1289ec13be9671c966d0b0099d5ei0,ab20,20.atommap.svg,20,20
55826,ab5724bc9f349c4454e958fcc254647f7062dad7fccdb137c83ca08d5b45e238i0,ab57,57.atommap.svg,57,57
55829,ab62ceb1e1c9a585c06b75abc10fda1234af22302903c0aaf8e655d5768a58e8i0,ab62,C:\Users\85820\Desktop\pipe打图片\Atom-map-main\atommap_svg_final\62.atommap.svg,62,62
55830,ab589fc6ddad9b1b3ae9c12a05ddc47d99db51461e5b0e651ea2aa32862bbccfi0,ab58,C:\Users\85820\Desktop\pipe打图片\Atom-map-main\atommap_svg_final\58.atommap.svg,58,58
55832,ab19f3517a8d49f870df2ed12ad5339f267fe78158d7a4ae7daa0f2f6b3d7b63i0,ab19,19.atommap.svg,19,19
55834,ab36649bbcd5e717e5949cfb55d83a6895ddb2b5dec40a10d4b4f3832f0fddd0i0,ab36,36.atommap.svg,36,36
55835,ab213c50d37074fdd7c8c15b92009ce21799e0353ab976e91e2fbcc540298a14i0,ab21,21.atommap.svg,21,21
55837,ab1534d97f0d2f46f48757c208331b59fb94db0f6a254cc748f512a35fd1338fi0,ab15,15.atommap.svg,15,15
55838,ab16cd132037ed18ab6a975cba210df636d8fc810b46c61290afeb24f3838635i0,ab16,16.atommap.svg,16,16
55848,ab181a28c6f8a22912d6070901095bcbe0915898ada9a8862ab19f92cd892df7i0,ab18,18.atommap.svg,18,18
55851,ab171e367247b6046d2617fd1086a98b8677ff43b4b1612f47afaad2f002ec1bi0,ab17,17.atommap.svg,17,17
55856,ab5005b73c4c8770ad515f8c1cd9297e28b46312d042676f3e76c660086ac78fi0,ab50,50.atommap.svg,50,50
55857,ab120517171f8c7e655137b3e5b3a238ccd61ab5e98886d27e5b9eab63f57bf6i0,ab120,120.atommap.svg,120,120
55859,ab64c186f2fa9d5d7d075678234f997de5207fc893e3a7bd754a1e728b61f1bdi0,ab64,64.atommap.svg,64,64
55861,ab51f45f784aa45c257f7965ac74c9e1800d4cfcd773634c805097b0dae1bff9i0,ab51,51.atommap.svg,51,51
55874,ab555c04a71452c1d9b16bc74d6e0fd24e90f6dfe81e81ed88b7d480d7b3d4d6i0,ab555,555.atommap.svg,555,555
55879,ab333c3874929177b9be6842dbf1f32c69d856df893312181b221f6eaea1e92fi0,ab333,333.atommap.svg,333,333
55886,ab59bfd1e03877558d52f8b06332a338297309f3ad5fa22e7082f601ffdf0012i0,ab59,59.atommap.svg,59,59
55890,ab7779bc360dc12013e5c5e6d019b7e812fd00550598a16bfd16601deaefd842i0,ab777,777.atommap.svg,777,777
55892,ab24103a2cbb130e557305deee9671e5d9a4b9cf4a86cb005e4b77ab262bead6i0,ab24,24.atommap.svg,24,24
55895,ab1194f28497dc01c1275533d219d05fa22c1434091fbfe86e99d6c489ce3de5i0,ab119,119.atommap.svg,119,119
55898,ab536d46996f553e0b3b5f6e49aa25c8433da2d7f3f94e4880c284a0905ac8a5i0,ab53,53.atommap.svg,53,53
55902,ab305859802568f8b22e0701888ef4249beff9126b88bf9f9ba75310affab02ei0,ab305,305.atommap.svg,305,305
55908,ab740a93644025807cb0b9a907680f7a8b28b5c240083a31d49ba50d5206ab7fi0,ab74,74.atommap.svg,74,74
55911,ab110faafa030e1455cc6adccccbe2e88adf24dd7c8f1b6f2dd04a6834801224i0,ab110,110.atommap.svg,110,110
55913,ab2221846be4e5cae733cc701678605cec74c955e0cd1b6d52616cd26b496546i0,ab222,222.atommap.svg,222,222
55915,ab98850101132fcb1d65067de47d3cf123192d600813b88ce393cfbf23e76b16i0,ab988,988.atommap.svg,988,988
55916,ab788c154174fb1ff4932eb5915396f4e40c6bc921dcf94c979f7a174f5c9a00i0,ab788,788.atommap.svg,788,788
55917,ab166f5709a1ee8ff242e16f80efa326e8f804562530d3a6b6132f52cf5bc3bfi0,ab166,166.atommap.svg,166,166
55930,ab800634f773f556ddcb055ca5b0fb90d7ce26592b245fd6da26db82131b5053i0,ab800,800.atommap.svg,800,800
55931,ab270dbdb06ae7c405445edf5f1889343b4bc7472327b0357bb414b11a02bd6fi0,ab27,27.atommap.svg,27,27
55941,ab2591180cc6940e67542cc20642425883cbf3c6efd2112424ff2ca8eadc4a1ei0,ab25,25.atommap.svg,25,25
55951,ab1690b51e202a938c1f6ca06b6e7568decff9c7a10f93bee2eb2368aacdccf7i0,ab169,169.atommap.svg,169,169
55959,ab911ca623b99f0f759522168e0e90998c0094cc6b6dda9d6f33197b1015732ei0,ab911,911.atommap.svg,911,911
55968,ab30689d26b0076da2351c7ae9f064eb11420f87a163a41886ba7c873c4cbd3bi0,ab306,306.atommap.svg,306,306
55969,ab416763903ce3f197205498a908258783a5ee2a7115094c429fa1771fb87ec3i0,ab416,416.atommap.svg,416,416
55973,ab78977cce69dfe027d1e9436ffcf64e1a50c04c24b59889bf37147c42895702i0,ab789,789.atommap.svg,789,789
55983,ab112dea8d97442aae23e1134f72244b359f9aa0a79fb23b64f926edafc30edbi0,ab112,112.atommap.svg,112,112
55989,ab520f8985da89fb233c647b55996fd8ea7b2451036d8b65140eef3bbea3eb61i0,ab520,520.atommap.svg,520,520
56006,ab8869f776ec32e22da95b237c2d3f97b59fa3fb2652701bb7baa4162fe9c850i0,ab886,886.atommap.svg,886,886
56008,ab1887809b34e32cbaa87825d7e5d7940ea80954e12e7949e866d90d70f3629fi0,ab188,188.atommap.svg,188,188
56009,ab70424fc1f9b8b2fb8ea2b7ab421675c47eaa8063bb4ac8e2ac343ca409e48di0,ab704,704.atommap.svg,704,704
56029,ab243c71555cd430807c6dccc8868f1c432561cf9cfb3c50bcb08fad35f502d7i0,ab243,243.atommap.svg,243,243
56035,ab1000d7845d7741f24d802e0138d18600c63062b3b3dc43982bf3ef21651b62i0,ab1000,C:\Users\31905\Downloads\atommap_svg_final\1000.atommap.svg,1000,1000
56039,ab89954febcc34335d253181b6206dd87e67b3c0c2d6f50764f4f50ae8b61fd6i0,ab899,899.atommap.svg,899,899
56041,ab287f6fee9b0c3306c094d63a01ab6ca9481532bb14796dde4842b7a2faef9ai0,ab287,287.atommap.svg,287,287
56047,ab264cb44a274349b826d9f0b018bc590cdb43104754dc81e183dbaf029b4f67i0,ab26,C:\Users\85820\Desktop\pipe打图片\Atom-map-main\atommap_svg_final\26.atommap.svg,26,26
56056,ab3076e5a33dc3e76b338c6481ea563d139a812fbbe3c57cf39f12d61820a957i0,ab307,307.atommap.svg,307,307
56058,ab162bca39e12dc5df2ad375ff3430b5cb65e41fb9940484354910129cc2bd96i0,ab162,162.atommap.svg,162,162
56060,ab767c8c960af41b094bacdc2456a7b00084d14d19d84754497099188359708ci0,ab76,76.atommap.svg,76,76
56074,ab780d11f7a5c76ff7083ec2df5c76398aed4705ed3092c3438f1e5fb1ff71d8i0,ab78,C:\Users\94754\Downloads\Atom-map-main\atommap_svg_final\78.atommap.svg,78,78
56081,ab678469e12c71503af64c74b4a6e8c16c5e1a59c564594478d91a9ef81fbd48i0,ab678,678.atommap.svg,678,678
56082,ab53499d52119da2475e9ded5bc1fc79395105e4e4240eb706a2873c1bf005abi0,ab534,534.atommap.svg,534,534
56085,ab126c6dcfcebc8a33aac0eb13b190bcbdacb51d7a5b71506d5fe44f5727ef6ai0,ab126,126.atommap.svg,126,126
56088,ab1606ba901da469fa0dbd32634678c7253fced28fc69edf44e815eb77571d84i0,ab160,160.atommap.svg,160,160
56091,ab2344bfd0827fdf4a45db14565d9f7363abcb0d9a6ae046a7bab78229d124c9i0,ab234,234.atommap.svg,234,234
56092,ab6245cdfd53577310a7068b7d25c8df56aefc34ec1ac0fb879a9e4c53004401i0,ab624,624.atommap.svg,624,624
56093,ab2291317755c83e251f87a6566b773bea9be4e65a4e42fbcf898215165aab3bi0,ab229,229.atommap.svg,229,229
56096,ab330ee9995aeb941193379d99340c4436cf5af5041258cbcfa058daabc36feai0,ab330,330.atommap.svg,330,330
56103,ab345276709a6b1e885c08b3c67e477425d37f7da752e2cdfbd38f7b85c726eci0,ab345,345.atommap.svg,345,345
56108,ab4200c371067233779715cfe6eea41eea4fb4d2c1f2a83b6a5f65d192d447cdi0,ab420,420.atommap.svg,420,420
56110,ab098a32d8322a79ff1e58a03ccaa03be87504fa148209fb9bbd582f6c9226e9i0,ab0,C:\Users\94754\Downloads\Atom-map-main\atommap_svg_final\0.atommap.svg,0,0
56122,ab304b2de69f6d5891c1500b71bc9e7eb8eb728cd46b0bff9a95008dbcbc0795i0,ab30,C:\Users\26494\Documents\wakuang\atomicals\30.atommap.svg,30,30
56125,ab421e34ded13ce3c55c277467b4d6e8a7edcc56516f4c3b50d32611024e59bai0,ab421,421.atommap.svg,421,421
56126,ab225a78d965875b903200460c41cfea02f8fd17d2bd3e05725930234d329323i0,ab225,225.atommap.svg,225,225
56134,ab9851fd4faa6420e3486498f6233b37056ccd5c9fd47b7f554dc098cdb79820i0,ab985,985.atommap.svg,985,985
56137,ab502717898292668a171005f3ca87c6c2f3f6bcc5110aafe632cf5eea2cf5edi0,ab502,502.atommap.svg,502,502
56139,ab224d3e8597304a0b815e55604d080ff44637edf65d78929bb03340e6f4fc98i0,ab224,224.atommap.svg,224,224
56140,ab656b6bbe02c5c53369e6b13f5bb88dd1edda2a54329f0a6c41527d61d28749i0,ab656,656.atommap.svg,656,656
56141,ab221dc9d1a487e177172971644a52fc9cc175eb0829a772b2efac7879db7ba8i0,ab221,221.atommap.svg,221,221
56157,ab56c89faae4f32be05f3ecf4ad9814372f0a88b38428b81401822bec6865a91i0,ab56,56.atommap.svg,56,56
56163,ab7217ca4285aff28a860fe363f90b909288b7a93484ac450a6bcbc9781760eai0,ab721,721.atommap.svg,721,721
56166,ab813f8f707adc48569432358ed3731b425fc72fe805aa8587ee4556e5b62be0i0,ab813,813.atommap.svg,813,813
56167,ab7225fc52dffd890a818950b11381b624f05b4d5c592410708465dd1ca12db9i0,ab722,722.atommap.svg,722,722
56168,ab3557df3aa54606bb41c3691fb79dbbf01d4fc348519b8e33aec3e87e89ef09i0,ab355,355.atommap.svg,355,355
56169,ab3889df0f91c1022ce0a38f73b689221485a92c383937a715678185db712b17i0,ab388,388.atommap.svg,388,388
56172,ab7615f6448379013632191a52accbe82052f48323718f6c8fc658406c851dbdi0,ab761,761.atommap.svg,761,761
56173,ab7321bd1e3897224968f3458924adb58ac6c5c6039a2d98c14419594e6cbe65i0,ab732,732.atommap.svg,732,732
56186,ab233afc8b43e8ce9e036e9a486df108a43b34f08e7b496f3bcc6e6a5a1a67f4i0,ab233,233.atommap.svg,233,233
56188,ab76735e94a3cb02a85bdc718f0d97328e3e2897189b21618eaeb65f554712bdi0,ab767,767.atommap.svg,767,767
